cell	histories	finite_true_null	theta_min	theta_max	false_promotions	futures	terminal_5pct	terminal_5pct_rate	positive_margin_nodes	total_history_nodes	rejection_0	rejection_2pct	rejection_5pct
B1_MAE_NEG	8	8	-0.00078125	-0.00078125	0	32768	0	0.0	0	24	0.0	0.0	0.0
B1_MAE_B02	8	8	0.02	0.02	0	32768	0	0.0	0	24	0.0	0.0	0.0
B1_MAE_B05	8	8	0.05	0.05	0	32768	0	0.0	0	24	0.0	0.0	0.0
B1_MAE_ALT08	8	0	0.08	0.08	0	32768	0	0.0	0	24	0.0	0.0	0.0
B1_MAE_STR40	8	0	0.4	0.4	0	32768	28467	0.868743896484375	24	24	0.979888916015625	0.9552001953125	0.868743896484375
QB_MSE_NEG	8	8	-0.011076365735132043	-0.010916122963366748	1	32768	0	0.0	0	24	3.0517578125e-05	0.0	0.0
QB_MSE_NOM02	8	8	0.019899034343484057	0.020111793870298933	0	32768	0	0.0	0	24	0.0172119140625	0.0	0.0
QB_MSE_NOM05	8	6	0.04975540273310297	0.05043362465857493	0	32768	0	0.0	0	24	0.102783203125	0.004913330078125	0.0
QB_MSE_NOM08	8	0	0.07962065249148742	0.08240988697111673	0	32768	15	0.000457763671875	0	24	0.11285400390625	0.033599853515625	0.000457763671875
QB_MSE_NOM40	8	0	0.39876162327647535	0.4047901600690571	0	32768	32307	0.985931396484375	24	24	0.996063232421875	0.9932861328125	0.985931396484375
