history	original_history_id	cell	outer_index	selected_parameter	y0	baseline_risk	selected_risk	theta	theta_rational	first_true_node	false_promotions	denominator	binomial_p	holm_adjusted_p	posthoc_99pct_simultaneous_upper	upper_bound_type	terminal_none	terminal_0	terminal_2pct	terminal_5pct	record_sha256	inner_batch_sha256
H01	B1_MAE_NEG__0	B1_MAE_NEG	0	-0.1	-1.3132856051450965	1.0	1.00078125	-0.00078125	-1/1280	1	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	0fa67fccf35f0ecf66fb33fdf5ee16c31d768275607a626364c5d7bf5bfd1070	6bb880b261442d88802390e286b339357147e3662bbf1b4aa6fcaf11ad1f2084
H02	B1_MAE_NEG__1	B1_MAE_NEG	1	-0.1	-1.7982954567231229	1.0	1.00078125	-0.00078125	-1/1280	1	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	bcd5b705ec62a91032e323c5ec5b575b02446ea8ff967e391d3d4e60c61d8b2f	4c578155ec3dd67cabf58718faf425549628af5098a8d2f7fdaa46c9ccc7b58b
H03	B1_MAE_NEG__2	B1_MAE_NEG	2	-0.1	-1.3968298259311305	1.0	1.00078125	-0.00078125	-1/1280	1	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	ef7bb4148dc012250c18d751d38a20bbffca1ed18e2a15b35502e643eca9d215	32b95642716a0634643c05748ffd7565ce9ec0070e3f8252a4bb8e41b846bdd6
H04	B1_MAE_NEG__3	B1_MAE_NEG	3	-0.1	0.7641374327391556	1.0	1.00078125	-0.00078125	-1/1280	1	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	a7860a20c9f863011521868ffd3de60e63089595324e029007e7caca9a685897	9ef617597a1f7e7f0aa4692c696f1c3aee58057629b797d91505ef98471dbc02
H05	B1_MAE_NEG__4	B1_MAE_NEG	4	-0.1	0.8580823094396528	1.0	1.00078125	-0.00078125	-1/1280	1	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	54d384149a1f3a51fb146981eb60640a086d56f3d30e8d3238a4d5cbbeca3dc6	21a3854c994aed6c0af55ea13e71c987995354ebc348cae4e4c25620c5854b15
H06	B1_MAE_NEG__5	B1_MAE_NEG	5	-0.1	-0.045649218680889225	1.0	1.00078125	-0.00078125	-1/1280	1	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	66d47a92b381e26863fe0662ccf43aea1461842818410854b896728084b3d3e9	35462670f987794f3a4e0fc1ce9dc192eb37124f23428700d960670182271f72
H07	B1_MAE_NEG__6	B1_MAE_NEG	6	-0.1	0.18843357178651576	1.0	1.00078125	-0.00078125	-1/1280	1	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	3631c7b7ef322375701338943aee9c6f8ab06aad0ed21fd1b8d8b9eb743b44a0	d405ce54db18f7a98139498e7f23242952576ed6d1bd225ecb775107181d1c11
H08	B1_MAE_NEG__7	B1_MAE_NEG	7	0.1	1.9693218618258195	1.0	1.00078125	-0.00078125	-1/1280	1	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	ff4c83a52a969f577f02bb813c1c9a50cc1088b533aea49944824675ab8ae79b	a2ad2975586cc5eda924a64813a25348090996d40b6ea754a74e46b9532078eb
H09	B1_MAE_B02__0	B1_MAE_B02	0	0.1	-0.9412004964422327	1.0212053571428572	1.00078125	0.02	1/50	2	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	4372c0fef2be20cbc0cfd78174a16f318d898d4c8981841c383c69a0cc712776	6f1272ffc76b3d8205a83426d0ad2b477f8e0fd2371d25e8a6e708870037e670
H10	B1_MAE_B02__1	B1_MAE_B02	1	0.1	0.8116947046353985	1.0212053571428572	1.00078125	0.02	1/50	2	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	24de8ab818f674c5eaa112c9225513d1b599353fafb2052b3bbe6b784c33d96f	b2c0c7e65653ecd440559d5127d00bde207cba749fdbb169b6f0ff198fca75c1
H11	B1_MAE_B02__2	B1_MAE_B02	2	0.1	1.5304302814188289	1.0212053571428572	1.00078125	0.02	1/50	2	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	3503de463a2b9123509f3049724537b67458fb4da5796acd8545f4f31f57deef	9fdc7a1f8df74005bd0137a0e3d0898c7daf28591d08aabcd6b039cf717af3ce
H12	B1_MAE_B02__3	B1_MAE_B02	3	-0.1	0.27163771088110156	1.0212053571428572	1.00078125	0.02	1/50	2	0	4096	1.0	1	0.002056917670366294	Bonferroni exact-binomial over 46 pre-specified eligible histories	4096	0	0	0	3f54dd405ff206d5e5fe2faeb14ecda3635e992d0b2474071fbf8d5622e5a817	4aa74bf80cfcdb5f8369de1c636428df7e5c7fe89e6619cf04189713cc032291
