history	original_history_id	cell	node	r	mu	null_true	threshold	mu_minus_threshold	C	V	local_reject_count	reached_count	denominator	certificate_file
H01	B1_MAE_NEG__0	B1_MAE_NEG	1	0	-0.00078125	True	0.5234881951002626	-0.5242694451002625	0.18295352547257035		0	4096	4096	mae_node_1.npz
H01	B1_MAE_NEG__0	B1_MAE_NEG	2	1/50	-0.02078125	True	0.5182533131492599	-0.5390345631492599	0.1793127503156662		0	0	4096	mae_node_2.npz
H01	B1_MAE_NEG__0	B1_MAE_NEG	3	1/20	-0.05078125	True	0.5104009902227558	-0.5611822402227558	0.17392019515236207		0	0	4096	mae_node_3.npz
H02	B1_MAE_NEG__1	B1_MAE_NEG	1	0	-0.00078125	True	0.5234881951002626	-0.5242694451002625	0.18295352547257035		0	4096	4096	mae_node_1.npz
H02	B1_MAE_NEG__1	B1_MAE_NEG	2	1/50	-0.02078125	True	0.5182533131492599	-0.5390345631492599	0.1793127503156662		0	0	4096	mae_node_2.npz
H02	B1_MAE_NEG__1	B1_MAE_NEG	3	1/20	-0.05078125	True	0.5104009902227558	-0.5611822402227558	0.17392019515236207		0	0	4096	mae_node_3.npz
H03	B1_MAE_NEG__2	B1_MAE_NEG	1	0	-0.00078125	True	0.5234881951002626	-0.5242694451002625	0.18295352547257035		0	4096	4096	mae_node_1.npz
H03	B1_MAE_NEG__2	B1_MAE_NEG	2	1/50	-0.02078125	True	0.5182533131492599	-0.5390345631492599	0.1793127503156662		0	0	4096	mae_node_2.npz
H03	B1_MAE_NEG__2	B1_MAE_NEG	3	1/20	-0.05078125	True	0.5104009902227558	-0.5611822402227558	0.17392019515236207		0	0	4096	mae_node_3.npz
H04	B1_MAE_NEG__3	B1_MAE_NEG	1	0	-0.00078125	True	0.5234881951002626	-0.5242694451002625	0.18295352547257035		0	4096	4096	mae_node_1.npz
H04	B1_MAE_NEG__3	B1_MAE_NEG	2	1/50	-0.02078125	True	0.5182533131492599	-0.5390345631492599	0.1793127503156662		0	0	4096	mae_node_2.npz
H04	B1_MAE_NEG__3	B1_MAE_NEG	3	1/20	-0.05078125	True	0.5104009902227558	-0.5611822402227558	0.17392019515236207		0	0	4096	mae_node_3.npz
H05	B1_MAE_NEG__4	B1_MAE_NEG	1	0	-0.00078125	True	0.5234881951002626	-0.5242694451002625	0.18295352547257035		0	4096	4096	mae_node_1.npz
H05	B1_MAE_NEG__4	B1_MAE_NEG	2	1/50	-0.02078125	True	0.5182533131492599	-0.5390345631492599	0.1793127503156662		0	0	4096	mae_node_2.npz
H05	B1_MAE_NEG__4	B1_MAE_NEG	3	1/20	-0.05078125	True	0.5104009902227558	-0.5611822402227558	0.17392019515236207		0	0	4096	mae_node_3.npz
H06	B1_MAE_NEG__5	B1_MAE_NEG	1	0	-0.00078125	True	0.5234881951002626	-0.5242694451002625	0.18295352547257035		0	4096	4096	mae_node_1.npz
H06	B1_MAE_NEG__5	B1_MAE_NEG	2	1/50	-0.02078125	True	0.5182533131492599	-0.5390345631492599	0.1793127503156662		0	0	4096	mae_node_2.npz
