cell_id	branch	loss	rho	innovation	burn_in	validation_origins	eval_origins	horizons	selected_pool	comparator_delta_exact	nominal_theta_exact	exact_theta	first_true_null	outer_histories	inner_futures_per_history	local_alpha	ladder	weights	selection_loss	certificate	study_role	comparator_gamma	stationary_nominal_theta	truth_rule
B1_MAE_NEG	B1_BOUNDED_MCDIARMID	MAE	1/2	iid Rademacher {-1,+1} after H	256	64	512	1;3;6	delta=-1/10; +1/10	0/1		-1/1280	r=0	8	4096	1/20	0;1/50;1/20	equal over all evaluation origin-horizon terms	MAE	Theorem A bounded-innovation whole-functional McDiarmid	PRIMARY_CONFIRMATORY			
B1_MAE_B02	B1_BOUNDED_MCDIARMID	MAE	1/2	iid Rademacher {-1,+1} after H	256	64	512	1;3;6	delta=-1/10; +1/10	289/784	1/50	1/50	r=0.02	8	4096	1/20	0;1/50;1/20	equal over all evaluation origin-horizon terms	MAE	Theorem A bounded-innovation whole-functional McDiarmid	PRIMARY_CONFIRMATORY			
B1_MAE_B05	B1_BOUNDED_MCDIARMID	MAE	1/2	iid Rademacher {-1,+1} after H	256	64	512	1;3;6	delta=-1/10; +1/10	5875/10336	1/20	1/20	r=0.05	8	4096	1/20	0;1/50;1/20	equal over all evaluation origin-horizon terms	MAE	Theorem A bounded-innovation whole-functional McDiarmid	PRIMARY_CONFIRMATORY			
B1_MAE_ALT08	B1_BOUNDED_MCDIARMID	MAE	1/2	iid Rademacher {-1,+1} after H	256	64	512	1;3;6	delta=-1/10; +1/10	2747/3680	2/25	2/25	none	8	4096	1/20	0;1/50;1/20	equal over all evaluation origin-horizon terms	MAE	Theorem A bounded-innovation whole-functional McDiarmid	PRIMARY_CONFIRMATORY			
B1_MAE_STR40	B1_BOUNDED_MCDIARMID	MAE	1/2	iid Rademacher {-1,+1} after H	256	64	512	1;3;6	delta=-1/10; +1/10	541/328	2/5	2/5	none	8	4096	1/20	0;1/50;1/20	equal over all evaluation origin-horizon terms	MAE	Theorem A bounded-innovation whole-functional McDiarmid	PRIMARY_CONFIRMATORY			
QB_MSE_NEG	QB_UNBOUNDED_QUADRATIC_CANTELLI	MSE	1/2	iid Gaussian N(0,1) scalar coordinates after H	256	64	256	1;3;6	gamma=-0.1; +0.1 with f_gamma(o,h)=(0.5^h+gamma)Y_o				H-specific from exact theta(H)	8	4096	1/20	0;1/50;1/20	equal over all evaluation origin-horizon terms	MSE	Theorem B exact quadratic variance + Cantelli	PRIMARY_CONFIRMATORY	0		compute exact theta(H) from full frozen H; never relabel by nominal target
QB_MSE_NOM02	QB_UNBOUNDED_QUADRATIC_CANTELLI	MSE	1/2	iid Gaussian N(0,1) scalar coordinates after H	256	64	256	1;3;6	gamma=-0.1; +0.1 with f_gamma(o,h)=(0.5^h+gamma)Y_o				H-specific from exact theta(H)	8	4096	1/20	0;1/50;1/20	equal over all evaluation origin-horizon terms	MSE	Theorem B exact quadratic variance + Cantelli	PRIMARY_CONFIRMATORY	0.16971626701134285	0.02	compute exact theta(H) from full frozen H; never relabel by nominal target
QB_MSE_NOM05	QB_UNBOUNDED_QUADRATIC_CANTELLI	MSE	1/2	iid Gaussian N(0,1) scalar coordinates after H	256	64	256	1;3;6	gamma=-0.1; +0.1 with f_gamma(o,h)=(0.5^h+gamma)Y_o				H-specific from exact theta(H)	8	4096	1/20	0;1/50;1/20	equal over all evaluation origin-horizon terms	MSE	Theorem B exact quadratic variance + Cantelli	PRIMARY_CONFIRMATORY	0.24185434428325728	0.050000000000000003	compute exact theta(H) from full frozen H; never relabel by nominal target
QB_MSE_NOM08	QB_UNBOUNDED_QUADRATIC_CANTELLI	MSE	1/2	iid Gaussian N(0,1) scalar coordinates after H	256	64	256	1;3;6	gamma=-0.1; +0.1 with f_gamma(o,h)=(0.5^h+gamma)Y_o				H-specific from exact theta(H)	8	4096	1/20	0;1/50;1/20	equal over all evaluation origin-horizon terms	MSE	Theorem B exact quadratic variance + Cantelli	PRIMARY_CONFIRMATORY	0.30019949209541941	0.080000000000000002	compute exact theta(H) from full frozen H; never relabel by nominal target
QB_MSE_NOM40	QB_UNBOUNDED_QUADRATIC_CANTELLI	MSE	1/2	iid Gaussian N(0,1) scalar coordinates after H	256	64	256	1;3;6	gamma=-0.1; +0.1 with f_gamma(o,h)=(0.5^h+gamma)Y_o				H-specific from exact theta(H)	8	4096	1/20	0;1/50;1/20	equal over all evaluation origin-horizon terms	MSE	Theorem B exact quadratic variance + Cantelli	PRIMARY_CONFIRMATORY	0.79009575500905815	0.40000000000000002	compute exact theta(H) from full frozen H; never relabel by nominal target
